Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data/BI Analyst,Employer Provided Salary:$55K - $60K,"Accurate Healthcare -- A Growing Healthcare firm headquartered in Nashville, TN specializing in medical billing, equipment and supply services.
Job Responsibilities:
· Lead communication efforts between multiple vendors and their technology teams with regard to integrating different technology platforms (vendor technology platforms include accounting, inventory, purchasing, billing, EDI, and custom platforms)
· Ability to investigate and troubleshoot connectivity issues between different technology platforms (accounting, inventory, purchasing, billing, EDI, and custom platform), and propose solutions
· Troubleshoot data integrity issues and propose solutions that can be adopted company wide",2.7,"Accurate Healthcare
2.7","Nashville, TN",1 to 50 Employees,-1,Company - Private,-1,-1,$5 to $10 million (USD)
Data Analyst,Employer Provided Salary:$111K,"About VGW
We are pioneers in online gaming, with talented people and innovative, patented technology. We own and operate several market-leading brands in the largest markets in the world and have about 800 team members globally, all committed to building something amazing, pushing our boundaries and having fun in the process. We’ve been disrupting online social casino and poker gaming since 2010 and bringing fun and excitement to millions of customers. At VGW, we have a modern approach to getting work done and a focus on creating an environment where amazing people can do amazing work. That means giving you the flexibility you need, providing spaces that will keep you comfortable and finding opportunities for you to keep learning and growing.
About the Role
The Data and Analytics team is responsible for leading the data-driven culture at VGW. We work alongside the business to provide analytics that improve and monitor our products to drive business growth. This is an exciting opportunity to combine both your insights and analytical skills with elements of data science and modeling to analyze payments and fraud data to better understand what is driving our position and how to improve it. Using your detailed domain and technical knowledge you will be required to help solve the right business problems, as well as building fast-fail proof-of-concept data products to test new ideas.",3.4,"VGW
3.4",Remote,501 to 1000 Employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,$44K - $82K (Glassdoor est.),"Job Details
Job Location
Davis - , CA
Using advanced skills in data analytics, the Data Analyst supports CommuniCares administrative reporting needs and quality management goals related to improving the health of the patient population. The Data Analyst works in collaboration with clinical and other staff as well as the Data Programmer to develop computer programs that examine health related, primary care outpatient data to fulfill reporting needs across departments. CommuniCare Health Centers is a Federally Qualified Health Center providing comprehensive patient-centered primary care services including medical, dental, substance abuse treatment, behavioral health and outreach services to the low income, multi-ethnic, uninsured and underinsured in the communities we serve.",3.7,"CommuniCare Health Centers
3.7","Davis, CA",201 to 500 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Analyst,Employer Provided Salary:$70K - $85K,"We are currently seeking a Data Analyst to join Redwood Investment Management, in our Scottsdale, AZ office. The Data Analyst will be responsible for collecting, analyzing, reconciling and reporting daily mutual fund sales data as well as maintaining all sales and assets related data. The skills that are critical to success will include, mining and organizing sales data, creating and maintaining data integrity processes, creating reports and identifying trends for management. This position requires a demonstrated track record working with data processing, strong data observational and analytical skills, outstanding organizational skills, and a superb attention to detail. Experience that will be helpful in this role include previous mutual fund and/or asset management sales reporting. Familiarity with systems such as FundServ, DTCC, and mutual fund reporting portals of Institutional RIA Custodians such as Charles Schwab, Fidelity, and TD Ameritrade.
Redwood Investment Management is an institutional SEC registered investment adviser providing leading edge investment solutions to clients and investment advisers across a variety of vehicles including the Redwood mutual funds, the LeaderShares ETFs, separately managed accounts, sub-advisory relationships, unified managed accounts, investment model platforms, and a hedge fund. Redwood’s strategies are primarily quantitative and focus on a macro level view. Our offices are in Scottsdale, AZ. & Los Angeles, CA. This role is in our Scottsdale, CA office.",-1,"Redwood Investment Management, LLC","Scottsdale, AZ",-1,-1,-1,-1,-1,-1
Clinical Data Analyst-Entry Level,Employer Provided Salary:$21 Per Hour,"Why MCR Health?
A career at MCR Health offers exciting opportunities with one of the largest Healthcare companies in the areas we serve. Now, more than ever, we are looking for exceptional people to support our passion to provide ""Exceptional Care to Everyone, Every Time"", and to support our Mission to serve everyone. Whether you are providing direct patient care or in other areas of our Company, you can find a home here. We invite you to be part of our community where you can grow your career and serve with your heart.
In our time of Company growth, we are seeking an Entry Level Clinical Data Analyst.
Entry Level : starting at $21.00 per hour
Work Location: Palmetto, Florida",4.3,"MCR Health
4.3","Bradenton, FL",501 to 1000 Employees,1978,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
HEOR Data Analyst,Employer Provided Salary:$65 - $75 Per Hour,"Lead/Manager, Data Analytics - HEOR
The goal of this position is to establish data analytic expertise and capability within US-HEOR. The Director will work in collaboration with HEOR staff members to formulate analysis plans of research ideas using various databases to meet and support their needs in various therapeutic areas. The Director’s ultimate goal in the course of data analysis is to support HEOR staff in capturing the economic and humanistic value of various Ipsen’s products throughout the various stages of development in three therapeutic areas : Oncology, Neuroscience, and Rare Diseases. The data generation philosophy should address issues relating to various stakeholders (patients, payers, and society).
The Director of data analytics will work closely with HEOR staff to design best appropriate research methodology and test hypothesis of various research ideas using a given database, develop the analytical plan, and statistical analysis for each research project. * The Director of data analytics should have a commanding expertise/skill in programming and statistical analysis including knowledge of standard statistical software and packages (SAS, R, ..etc) * The Director should be able to guide HEOR staff to best methodology to use on databases to answer desired research questions. * The Director of Data Analytics - HEOR, will conduct methodologically sound and comprehensive feasibility studies for potential outcomes research ideas for priority HEOR evidence needs in collaboration with internal and external researchers. * The Director should be able to have project management skills. * The Director should be able to conduct data analysis using primary databases and secondary data sources such as healthcare claims, electronic medical record databases or publicly available datasets for HEOR projects * The Director should be able to identify the best sources of databases that would be most suitable for a specific research idea.",-1,Apercu Talent Services,Remote,-1,-1,-1,-1,-1,-1
Data Analyst,Employer Provided Salary:$60K - $110K,"Battea is currently in a hybrid work model, balancing in-office and work-from-home.
We are looking to fill multiple data analyst roles ranging from junior to senior level.
Background:
Founded in the mid‐1990’s, Battea – Class Action Services, is the preeminent provider of securities class action recovery services to the institutional investment community. Battea processes detailed historical trade data and efficiently handles filings and collections of class action settlement recoveries on behalf of hedge funds and proprietary trading firms. Through its highly automated Claims Engine technology, Battea provides institutional investors with a full-service, outsourced solution for securities class action claims processing.
We are looking for talented individuals that possess a unique combination of business acumen, technical skills, securities industry knowledge as well as strong interpersonal skills in order to provide technical data analysis and innovative problem solving skills. The role entails in depth data analysis and collaborating with data team co-workers and Customer Service Representatives to drive automation and efficient and timely data processing.",-1,"Battea - Class Action Services, LLC","Stamford, CT",-1,-1,-1,-1,-1,-1
Data Analyst,Employer Provided Salary:$60K - $70K,"Corcoran Administrators (""CA"") is a Third Party Administrator for Group Health Plans. We have three locations and are looking for a Data Analyst and someone who has experience in analyzing data and turning data into clear concise information.
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems",-1,"Corcoran Administrators, Inc.","Boise, ID",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst,Employer Provided Salary:$80K - $108K,"About the Role
The ideal candidate for this role will have a passion for a detail oriented, statistical approach to scientific data analysis. You will analyze biosignals recorded by new graphene based electronics coupled to active biological components. Analysis will be done using a variety of platforms such as Prism and Python Notebooks. You will coordinate with our Software Development Team to integrate successful new analysis approaches into our internally developed analysis software. The candidate will report to the Measurement Group Leader.
Responsibilities, but not limited to:
· Collaborate closely with bench scientists to perform statistical evaluation of experiment results
· Create reports and presentations summarizing data and analysis for both internal and partner driven projects",-1,Cardea Bio,"San Diego, CA",-1,-1,-1,-1,-1,-1
IT Data Analyst,Employer Provided Salary:$62K - $100K,"We are seeking an IT Data Analyst who will work with DTRIC’s insurance data from multiple sources (e.g. policy, claims and billing systems) to coordinate the overall resources and processes for data analysis and administration to meet customer requirements and fulfill the information needs of the Company. Assists with research and development of database products and services, data analytics, business intelligence, data warehouse, internal & external reporting. As required, performs special data projects and reports for customers. Develops customized views from databases and collects data according to support corporate decision making at the strategic, tactical and operations levels.
Essential Functions:
1. Understand, interpret, and analyze data using current tools and techniques to provide ongoing reports.",3.6,"DTRIC Insurance Company, Limited
3.6","Honolulu, HI",51 to 200 Employees,1992,Company - Public,Insurance Carriers,Insurance,$10 to $25 million (USD)
