Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,Employer Provided Salary:$150K,"We are adding a Data Scientist to our growing team!

ABOUT AMERICAN CAPITAL GROUP
American Capital Group (ACG) is a fully-integrated real estate investment and development company. The company has designed and built more than 80 multifamily properties across 12 states over its 33 year history. Today, ACG is an industry leader with dedicated personnel in Engineering, Design, Acquisition, Development, Construction, Property Management, and Investment Management. We strongly value teamwork, integrity, transparency and strive to deliver the highest quality products and services to our investors and customers.",4.3,"American Capital Group
4.3","Bellevue, WA",51 to 200 Employees,1986,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Scientist – Deep Learning (Computational Protein Design),-1,"Position
Scientist – Deep Learning (Computational Protein Design)
Description
Want to join a team that is redefining innovation in industrial biotech? Arzeda has developed a proven technology platform that merges computational protein design, machine learning, and high-throughput testing to produce novel proteins and enzymes more efficiently than even Mother Nature. Leveraging our core expertise we design novel proteins and bio-catalytic processes for the sustainable production of performance ingredients and materials. A deep tech, mission-driven company, we are passionate about our mission to design novel proteins and products that enhance our lives and protect our planet.",-1,Arzeda,"Seattle, WA",-1,-1,-1,-1,-1,-1
Senior Data Scientist/ML Engineer,Employer Provided Salary:$120K - $200K,"About Deep Sentinel
Deep Sentinel is a breakthrough, next generation home security company that combines state-of-the-art technology (camera, audio, mobile interface, etc.), artificial intelligence and real human guards watching cameras in real-time. No other security company does this. Whereas all other physical security solutions are either reactive (when it is often too late) or require self-monitoring, Deep Sentinel is truly proactive, intervening on potential criminal activity before it happens. Deep Sentinel is literally the only monitored home security system that can (and does!) predict then prevent burglaries before they happen. The Deep Sentinel solution is also easy to install and extremely affordable.
To see how it works, visit: https://www.deepsentinel.com/how-it-works/
The company is backed by top investors including Jeff Bezos and top-tier Venture Capital firms including Shasta Ventures (Nest, NextDoor), Slow Ventures, UP2398, FoundersFund (Facebook) and Lux Capital.",3.3,"Deep Sentinel Corp.
3.3",Remote,1 to 50 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$90K,"The Data Scientist will play a pivotal role in planning, executing and delivering machine learning-based projects. The bulk of the work will be in data exploration and preparation, machine learning modeling, management and problem analysis, data collection and integration, operationalization. The Data scientist will be a key interface between the analytics and the various teams around the organization such as product, sales, marketing and business. The Data Scientist role is perfect for someone who is passionate about combining deep technical understanding, broad domain knowledge, and creative problem-solving skills to design products that make a measurable impact for our customers.
‍
Responsibilities:
· Use machine learning techniques, visualizations, statistical analysis, and other techniques to gain insight into our data sets. These may involve improving existing techniques and some which you will need to create.
· Prioritize, scope, and manage data science projects and the corresponding key performance indicators (KPIs) for success.
· Participate in the full lifecycle of development, including researching and designing solutions, running tests with clients and performing deep analyses to understand results, implementing solutions that can scale in terabyte sized production environments, and monitoring impact to our products.
· Apply statistical analysis and visualization techniques to various data, such as hierarchical clustering, isolation models, random cut forests (RCF), principal components analysis (PCA), and support vector machine (SVM) Machine Learning.
· Collaborate with team members in the various engineering teams, in order to build projects and to continuously teach and learn new technology and techniques
· Communicate findings and solutions clearly to a variety of audiences, both internal and external. This includes having the capacity to write clear and comprehensive requirements to our engineers, while also being able to explain statistical analysis to various Subject MatterExperts.
· Passion and curiosity to seek out better understanding of our data, products and platforms and align efforts with the end customer in mind.
· Define and communicate governance principles regarding data quality and product interaction.· Work independently with minimal supervision but high accountability",-1,Key Data,Remote,-1,-1,-1,-1,-1,-1
Image Data Scientist - Computational Pathology,$57K - $106K (Glassdoor est.),"At Reveal, we believe that data matters. Help us use the power of data to innovate the field of pathology and improve global healthcare. Our proprietary deep learning-based platform, ImageDx™, delivers scientists and pathologists a novel class of actionable, quantitative data to accelerate research and enhance patient care.
We are seeking an enthusiastic and talented image data scientist to join our computational pathology team. The successful candidate will be a key member of the team developing new technical approaches for our computer-assisted diagnosis digital pathology products. This is an excellent opportunity to work on challenging, interesting projects with great potential for significant societal impact.
The successful candidate will enjoy working in a highly collaborative environment developing, cutting-edge products. Excellent communication and creative problem-solving skills are required. Previous experience in digital pathology, high content screening, or large biomedical image sets is a plus.",4.7,"Reveal Biosciences
4.7","San Diego, CA",1 to 50 Employees,-1,Company - Private,,,Less than $1 million (USD)
Sr. Data Analyst/Scientist,Employer Provided Salary:$80 Per Hour,"Are you interested in defining the future of creativity by making it fast, fun, and frictionless to make sophisticated-looking content? Passionate about the next generation of users and building modern solutions that connect to leading social and digital platforms?
We are a group of storytellers, technology innovators, and change agents. Building off Adobe Spark’s initial success, we are now re-imagining (from the ground up!) the way people discover, create, and publish the full range of media types - from graphics to imaging to video - right in the browser and on their mobile devices. Our aim is to build fast and easy product experiences that enable students, social influencers, marketers, small businesses - really anyone with something to say - to make something that will stand out and impress their audience. Join us in building a new creativity platform that will help define Creative Cloud and Adobe’s Digital Media business!
We are seeking an experienced Sr Data Science Analyst to support the Adobe Spark and CC Education teams. This role is a strategic role, partnering with product managers and the leadership team making key decisions about the direction of our products. We’re looking for someone who has experience and passion about behavioral analysis for software products.",4.4,"Adobe
4.4","Seattle, WA",10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Staff Data Scientist - Match Recommendations,Employer Provided Salary:$187K - $270K,"Your Job
The Match Recommendations team builds machine learning models that recommend best-match jobs to job seekers on Indeed. The team’s mission is to build the world’s best AI matchmaker that can connect all jobseekers with their next job. To achieve this, the team leverages unparalleled rich data and state-of-the-art machine learning systems to deliver the highest quality matches to jobseekers and employers.

As a Staff Data Scientist on the Match Recommendations team, you will:
Build highly scalable and performant recommendation systems and technologies that can identify best matches between millions of jobs and millions of job seekers in real-time


We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,"Indeed
4.3",Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Senior Data Scientist,Employer Provided Salary:$125K - $180K,"Senior Data Scientist
Location: Remote
Purpose: Espire Services is looking for an experienced Senior Data Scientist to develop and implement predictive models & workflows for polling analysis. In addition, this person will supervise a small team of data scientists and engineers in machine learning and NLP projects.
Duties and Responsibilities:
Develop applied quantitative methods to find patterns and relationships in data sets using statistical and graphical packages and statistical programming languages.
This person will demonstrate the ability to create & deploy technical solutions that perform segmentation, cluster analysis and factor analysis on various polling datasets.",4.4,"Espire Services
4.4",Remote,1 to 50 Employees,-1,Contract,-1,-1,Less than $1 million (USD)
Data Scientist - SQL/Tableau,$66K - $128K (Glassdoor est.),"Job Title: Data Scientist - SQL/Tableau
Location: Seattle, WA or Menlo Park, CA
Duration: 6 Months

Summary:
The main function of the Data Scientist is to produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets.

Responsibilities
Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement.










IND123",4.5,"Ursus
4.5","Seattle, WA",51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Senior Data Scientist, Rich Media Experiences",Employer Provided Salary:$127K - $203K,"About the team
We are the Rich Media Experiences team (RMX) and we’re inventing the technology that is changing how people shop for their homes. Our technology gives buyers the feeling of being there from the convenience of their phones or PCs. Using Computer Vision techniques and AI-powered algorithms, we work across product, research, engineering, and business to enable people to virtually walk through a home. We believe this is the future of home shopping.
And we do this as part of Zillow, within a culture that is the best most of us have ever experienced.
About the role
The Senior Data Scientist helps guide our Operations team as well as our engineering team using data to bring about clarity. You will create insights by defining, exposing, analyzing and visualizing crucial data about how our teams and tools are performing. Our Operations team will rely every day on the operational reporting you will create to run the team. Our product and engineering team will look to you to help decide which problems to tackle next, and how to think about them. Our leadership team will depend upon the insights you deliver to help make decisions.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $127,100.00 - $203,000.00 Annually. This range is specific to Colorado and may not be applicable to other locations.

In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
Predictive Modeler,Employer Provided Salary:$75K - $125K,"Predictive Modeler
Lancer Insurance Company, Inc. – Long Beach, NY
Lancer Insurance Company is looking for a talented and motivated predictive modeler to work with a data architect and/or data scientist to develop predictive models to provide modeling solutions that meet organizational needs and to perform in-depth analysis to guide and support strategic business decisions. The right candidate will be a successful communicator and self-starter with strong analytical skills who exhibits creativity, hustle, integrity, and teamwork.
Duties and Responsibilities:
· Identify areas where data can be used to improve business activities, defining business users’ requirements. Make recommendations for the usage of data in business and communicate the benefits and return on investment for application and product owners.",3.4,"Lancer Insurance Company
3.4",Remote,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
